Movie Name,Rating,Year,Director,Writers,User Reviews,Genre,Summary,URL,Genre List,Cast 1,Cast 2
Dil Chahta Hai,8.3,2021,Vishnuvardhan,Sandeep Shrivastava,3K,Action,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely... Read all",https://www.imdb.com/title/tt10295212/?ref_=fea_eds_center-3_IndiaTop250_120,"Action, Biography, Drama",Sidharth Malhotra,Kiara Advani
Shershaah,8.2,2015,Ashwiny Iyer Tiwari,Nitesh Tiwari,55,Drama,A story about a single woman (a Mom) and dreams on her Daughter.,https://www.imdb.com/title/tt5005684/?ref_=fea_eds_center-3_IndiaTop250_121,"Drama, Family",Swara Bhasker,Riya Shukla
Nil Battey Sannata,8.3,2022,Jayprad Desai,Kedar Patankar,240,Biography,An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's ca... Read all,https://www.imdb.com/title/tt18568902/?ref_=fea_eds_center-3_IndiaTop250_122,"Biography, Drama, Sport",Shreyas Talpade,Gaurav Kamble
Kaun Pravin Tambe?,8.1,2015,Kabir Khan,Vijayendra Prasad,434,Action,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,https://www.imdb.com/title/tt3863552/?ref_=fea_eds_center-3_IndiaTop250_123,"Action, Adventure, Comedy",Salman Khan,Harshaali Malhotra
Bajrangi Bhaijaan,8.0,2006,Rajkumar Hirani,Vidhu Vinod Chopra,124,Comedy,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,https://www.imdb.com/title/tt0456144/?ref_=fea_eds_center-3_IndiaTop250_124,"Comedy, Drama, Romance",Sanjay Dutt,Arshad Warsi
Lage Raho Munna Bhai,8.3,2000,Mani Ratnam,Mani Ratnam,28,Drama,"After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be.",https://www.imdb.com/title/tt0242256/?ref_=fea_eds_center-3_IndiaTop250_125,"Drama, Musical, Romance",Madhavan,Shalini
Alai Payuthey,8.1,2005,Nagesh Kukunoor,Nagesh Kukunoor,29,Drama,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.",https://www.imdb.com/title/tt0453729/?ref_=fea_eds_center-3_IndiaTop250_126,"Drama, Sport",Shreyas Talpade,Naseeruddin Shah
Iqbal,8.1,1971,Hrishikesh Mukherjee,Hrishikesh Mukherjee,152,Drama,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",https://www.imdb.com/title/tt0066763/?ref_=fea_eds_center-3_IndiaTop250_127,"Drama, Musical",Rajesh Khanna,Amitabh Bachchan
Anand,8.3,2013,Pawan Kumar,Pawan Kumar,129,Drama,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.",https://www.imdb.com/title/tt2358592/?ref_=fea_eds_center-3_IndiaTop250_128,"Drama, Sci-Fi, Thriller",Sathish Neenasam,Sruthi Hariharan
Lucia,8.2,2006,Bommarillu Baskar,Bommarillu Baskar,25,Comedy,A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,https://www.imdb.com/title/tt0843326/?ref_=fea_eds_center-3_IndiaTop250_129,"Comedy, Drama, Romance",Siddharth,Genelia Deshmukh
Bommarillu,8.1,2016,Aniruddha Roy Chowdhury,Shoojit Sircar,236,Crime,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",https://www.imdb.com/title/tt5571734/?ref_=fea_eds_center-3_IndiaTop250_130,"Crime, Drama, Thriller",Amitabh Bachchan,Taapsee Pannu
Pink,8.1,1964,Satyajit Ray,Rabindranath Tagore,43,Drama,"The lonely wife of a newspaper editor falls in love with her visiting cousin-in-law, who shares her love for literature.",https://www.imdb.com/title/tt0057935/?ref_=fea_eds_center-3_IndiaTop250_131,"Drama, Romance",Soumitra Chatterjee,Madhavi Mukherjee
Charulata,8.1,1992,Mani Ratnam,Mani Ratnam,23,Drama,"A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir, where all is rosy - until he gets kidnapped by militants.",https://www.imdb.com/title/tt0105271/?ref_=fea_eds_center-3_IndiaTop250_132,"Drama, Romance, Thriller",Arvind Swamy,Madhoo
