Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Roja,8.1,1992,Mani Ratnam,Drama,"A woman village Tamil Nadu marries sophisticated city dweller moves Kashmir , rosy - gets kidnapped militants .","Drama, Romance, Thriller"
Viduthalai: Part 1,8.3,2023,Vetrimaaran,Action,A police officer recruited capture leader separatist group .,"Action, Crime, Drama"
Bombay,8.1,1995,Mani Ratnam,Drama,"A Hindu man Muslim woman fall love small village move Mumbai , two children . However , growing religious tensions erupting riots threaten tear f ... Read","Drama, Romance"
Section 375,8.1,2019,Ajay Bahl,Crime,"A celebrated Bollywood director Rohan Khurana stands accused female member crew , Anjali Dangle raped residence .","Crime, Drama, Mystery"
Indian,8.1,1996,S. Shankar,Action,A veteran freedom fighter enraged rising crime corruption society murders wrong doers one one using ancient martial arts technique .,"Action, Drama, Thriller"
Padaiyappa,8.2,1999,K.S. Ravikumar,Action,"The death Padaiyappa 's father destroys family . But luck changes , able lead prosperous life , nemesis plots ruin happiness .","Action, Comedy, Drama"
Vaaranam Aayiram,8.2,2008,Gautham Vasudev Menon,Action,"A father son help growing , romance , tragedy , adventure .","Action, Drama, Musical"
K.G.F: Chapter 1,8.2,2018,Prashanth Neel,Action,"In 1970s , gangster named Rocky goes undercover slave assassinate owner notorious gold mine known Kolar Gold Fields .","Action, Crime, Drama"
Rangasthalam,8.2,2018,Sukumar,Action,Chitti Babu begins suspect elder brother 's life danger team lock horns village president overthrow unlawful 30 year old regime .,"Action, Drama"
Athadu,8.2,2005,Trivikram Srinivas,Action,"A gunman hire framed murder , assumes dead man 's identity hiding police .","Action, Crime, Drama"
Thadam,8.1,2019,Magizh Thirumeni,Action,The murder youngster creates confusion among cops discover suspect lookalike .,"Action, Crime, Drama"
Haider,8.0,2014,Vishal Bhardwaj,Action,"A young man returns Kashmir father 's disappearance confront uncle , suspects playing role father 's fate .","Action, Crime, Drama"
The Great Indian Kitchen,8.1,2021,Jeo Baby,Comedy,"After marriage , woman struggles submissive wife husband family expect . The story follows journey , changes , even , changes ... Read","Comedy, Drama"
Hi Nanna,8.2,2023,Shouryuv,Drama,A single father begins narrate story missing mother child nothing remains .,"Drama, Family, Romance"
Pelli Choopulu,8.2,2016,Tharun Bhascker Dhaassyam,Comedy,A wannabe businesswoman happy-go-lucky guy meet arranged marriage blind date eventually team start food truck .,"Comedy, Drama, Romance"
Kantara,8.2,2022,Rishab Shetty,Action,"When greed paves way betrayal , scheming murder , young tribal reluctantly dons traditions ancestors seek justice .","Action, Adventure, Drama"
Special 26,8.0,2013,Neeraj Pandey,Crime,A gang con-men rob prominent rich businessmen politicians posing C.B.I income tax officers .,"Crime, Drama, Thriller"
Chithha,8.2,2023,S.U. Arun Kumar,Drama,"A man raising niece like daughter , everything appears normal life little girl goes missing .","Drama, Thriller"
Maanaadu,8.2,2021,Venkat Prabhu,Action,"On day public conference state 's Chief Minister , bodyguard police officer stuck time loop .","Action, Adventure, Sci-Fi"
Ulidavaru Kandanthe,8.4,2014,Rakshit Shetty,Crime,"A journalist sets uncover truth behind incident , perspectives different people , unraveling lives intertwined .","Crime, Drama, Thriller"
Gulaal,8.0,2009,Anurag Kashyap,Crime,"A law student witnesses deception , homicide , crime elected General Secretary college .","Crime, Drama, Thriller"
Aadukalam,8.1,2011,Vetrimaaran,Action,Falling love Irene well refusing obey boss Pettaikaran rooster fight complicates Karuppu 's life .,"Action, Drama, Romance"
Naduvula Konjam Pakkatha Kaanom,8.2,2012,Balaji Tharaneetharan,Comedy,"A young man forgets years life , even get married .","Comedy, Drama"
Padosan,8.1,1968,Jyoti Swaroop,Comedy,A simple man village falls love new neighbor . He enlists help musical-theater friends woo lovely girl-next-door away music teacher .,"Comedy, Musical, Romance"
Maanagaram,8.1,2017,Lokesh Kanagaraj,Action,Four youngsters arrive big city lives become interlinked .,"Action, Thriller"
K.G.F: Chapter 2,8.3,2022,Prashanth Neel,Action,"In blood-soaked Kolar Gold Fields , Rocky 's name strikes fear foes , government sees threat law order . Rocky must battle threats sides uncha ... Read","Action, Crime, Drama"
Vaastav: The Reality,8.0,1999,Mahesh Manjrekar,Action,Consequences force innocent man get involved crime making error .,"Action, Crime, Drama"
Deewaar,8.0,1975,Yash Chopra,Action,"Vijay struggles dockworker eventually becomes leading figure underworld , younger brother Ravi educated , upright policeman . This divide causes problems th ... Read","Action, Crime, Drama"
Saptha Sagaradaache Ello - Side A,8.2,2023,Hemanth M. Rao,Drama,"Manu Priya hail middle-class background fall love . When circumstances land Manu jail , relationship Priya put jeopardy .","Drama, Romance"
